key,PROVINCIA,DEPARTAMENTO,VP,FN,FP,VN
buenosaires|florenciovarela,Buenos Aires,Florencio Varela,0,9,0,27
buenosaires|navarro,Buenos Aires,Navarro,9,0,1,26
buenosaires|canuelas,Buenos Aires,Cañuelas,7,2,1,26
buenosaires|sanvicente,Buenos Aires,San Vicente,8,1,2,25
buenosaires|lobos,Buenos Aires,Lobos,8,0,2,26
buenosaires|generalalvear,Buenos Aires,General Alvear,0,5,0,31
buenosaires|quilmes,Buenos Aires,Quilmes,0,9,0,27
buenosaires|generallamadrid,Buenos Aires,General La Madrid,0,0,10,26
buenosaires|bolivar,Buenos Aires,Bolívar,0,0,0,36
buenosaires|balcarce,Buenos Aires,Balcarce,0,0,8,28
buenosaires|tapalque,Buenos Aires,Tapalqué,0,0,0,36
buenosaires|hipolitoyrigoyen,Buenos Aires,Hipólito Yrigoyen,0,0,0,36
buenosaires|dolores,Buenos Aires,Dolores,1,0,12,23
buenosaires|azul,Buenos Aires,Azul,0,0,7,29
buenosaires|daireaux,Buenos Aires,Daireaux,0,0,0,36
buenosaires|treslomas,Buenos Aires,Tres Lomas,0,3,0,33
buenosaires|ayacucho,Buenos Aires,Ayacucho,0,0,13,23
buenosaires|guamini,Buenos Aires,Guaminí,0,0,9,27
buenosaires|ensenada,Buenos Aires,Ensenada,0,9,0,27
buenosaires|laprida,Buenos Aires,Laprida,0,0,13,23
buenosaires|sanisidro,Buenos Aires,San Isidro,0,9,0,27
buenosaires|benitojuarez,Buenos Aires,Benito Juárez,0,0,7,29
buenosaires|colon,Buenos Aires,Colón,9,1,1,25
buenosaires|saavedra,Buenos Aires,Saavedra,0,0,10,26
buenosaires|montehermoso,Buenos Aires,Monte Hermoso,0,0,0,36
buenosaires|loberia,Buenos Aires,Lobería,0,0,0,36
buenosaires|berisso,Buenos Aires,Berisso,3,6,1,26
buenosaires|tordillo,Buenos Aires,Tordillo,0,0,19,17
buenosaires|zarate,Buenos Aires,Zárate,6,6,1,23
buenosaires|ramallo,Buenos Aires,Ramallo,9,2,1,24
buenosaires|sannicolas,Buenos Aires,San Nicolás,9,3,4,20
buenosaires|leandronalem,Buenos Aires,Leandro N. Alem,10,1,3,22
buenosaires|generalarenales,Buenos Aires,General Arenales,10,1,3,22
buenosaires|patagones,Buenos Aires,Patagones,2,0,18,16
buenosaires|coroneldemarinaleonardorosales,Buenos Aires,Coronel de Marina Leonardo Rosales,0,0,0,36
buenosaires|baradero,Buenos Aires,Baradero,9,1,4,22
buenosaires|sanpedro,Buenos Aires,San Pedro,9,2,5,20
buenosaires|florentinoameghino,Buenos Aires,Florentino Ameghino,4,6,4,22
buenosaires|lanus,Buenos Aires,Lanús,0,9,0,27
buenosaires|lomasdezamora,Buenos Aires,Lomas de Zamora,0,9,0,27
buenosaires|avellaneda,Buenos Aires,Avellaneda,0,9,0,27
buenosaires|laplata,Buenos Aires,La Plata,8,1,2,25
buenosaires|pila,Buenos Aires,Pila,3,0,7,26
entrerios|victoria,Entre Rios,Victoria,7,9,9,11
entrerios|gualeguay,Entre Rios,Gualeguay,7,4,9,16
santafe|constitucion,Santa Fe,Constitución,8,2,8,18
santafe|rosario,Santa Fe,Rosario,9,2,7,18
santafe|iriondo,Santa Fe,Iriondo,10,5,6,15
lapampa|caleucaleu,La Pampa,Caleu Caleu,0,0,3,33
lapampa|chapaleufu,La Pampa,Chapaleufú,0,5,0,31
lapampa|rancul,La Pampa,Rancul,2,0,9,25
lapampa|lihuelcalel,La Pampa,Lihuel Calel,0,0,3,33
lapampa|hucal,La Pampa,Hucal,0,0,0,36
lapampa|limaymahuida,La Pampa,Limay Mahuida,0,0,11,25
lapampa|guatrache,La Pampa,Guatraché,0,0,0,36
lapampa|maraco,La Pampa,Maracó,0,3,0,33
lapampa|realico,La Pampa,Realicó,5,0,6,25
lapampa|utracan,La Pampa,Utracán,0,0,0,36
lapampa|toay,La Pampa,Toay,0,0,11,25
lapampa|capital,La Pampa,Capital,0,0,0,36
lapampa|trenel,La Pampa,Trenel,3,0,8,25
lapampa|conhelo,La Pampa,Conhelo,0,0,11,25
lapampa|loventue,La Pampa,Loventué,0,0,11,25
buenosaires|sanfernando,Buenos Aires,San Fernando,0,11,0,25
buenosaires|tigre,Buenos Aires,Tigre,0,11,0,25
buenosaires|rivadavia,Buenos Aires,Rivadavia,3,0,3,30
santafe|generallopez,Santa Fe,General López,9,2,0,25
santafe|caseros,Santa Fe,Caseros,8,2,8,18
santafe|sanlorenzo,Santa Fe,San Lorenzo,10,2,6,18
lapampa|atreuco,La Pampa,Atreucó,0,0,0,36
lapampa|catrilo,La Pampa,Catriló,0,0,0,36
lapampa|quemuquemu,La Pampa,Quemú Quemú,0,3,0,33
lapampa|curaco,La Pampa,Curacó,0,0,3,33
santafe|belgrano,Santa Fe,Belgrano,8,6,8,14
entrerios|islasdelibicuy,Entre Rios,Islas del Ibicuy,8,8,8,12
entrerios|uruguay,Entre Rios,Uruguay,5,0,11,20
entrerios|gualeguaychu,Entre Rios,Gualeguaychú,6,1,10,19
cordoba|union,Córdoba,Unión,7,5,0,24
cordoba|terceroarriba,Córdoba,Tercero Arriba,1,10,4,21
cordoba|riocuarto,Córdoba,Río Cuarto,1,9,4,22
cordoba|presidenteroquesaenzpena,Córdoba,Presidente Roque Sáenz Peña,5,6,0,25
cordoba|generalroca,Córdoba,General Roca,2,5,3,26
cordoba|juarezcelman,Córdoba,Juárez Celman,1,8,4,23
